Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees,CCTP Unclaimed Fees
arbitrum,19163.378743983852,10418.956419211196,3028.0165732514597,16020.168793
aurora,0.0,127834.98403413386,66221.44510490888,0
avax,21823.135224572652,63411.8161492732,6387.657122737778,1200.780058
base,24206.545178354838,1688.4147492647016,3225.838713897706,0.0
blast,0.0,223295.79095682743,646722.7524942355,0
boba,64493.46081819325,157210.41451856395,66015.26595845773,0.0
bsc,243.6255236510148,56412.593479243624,1489.8701435525786,0.0
canto,0.0,177549.15119428505,12016.625307396906,0.0
cronos,0.0,29811.498934046802,2918.899665197189,0.0
dfk,0.0,135694.87436917992,0,0.0
dogechain,0.0,7265.680037397962,0,0.0
ethereum,10617542.6563462167,48638.59655004119,4277.133308751852,0.0
fantom,2339.1510415599355,28012.959919553912,0.28918942818200344,0
harmony,12594.425411468548,140.0737972579189,0.7494730513425178,0
metis,299481.15767324716,147365.97796228388,24628.879221004696,0
moonbeam,0.0,475.979536758545,0,0
moonriver,0.0,322.37466731493237,0,0.0
optimism,372107.7970516596,494145.02876819274,111679.12294506258,734.243188
polygon,10432.400898525108,79899.40586809065,40189.600958325515,0
klaytn,0.0,29458.558831314145,0,0.0
