Chain,Type,Token Symbol,Value
arbitrum,CCTP Unclaimed Fees,USDC,0.0
arbitrum,Claimed Fees,ARB,0.0
arbitrum,Claimed Fees,DAI,4466.20174
arbitrum,Claimed Fees,ETH,0.0
arbitrum,Claimed Fees,FRAX,0.0
arbitrum,Claimed Fees,GMX,18441.137761926864
arbitrum,Claimed Fees,GOHM,18281.54271166425
arbitrum,Claimed Fees,NETH,89091.6207437817
arbitrum,Claimed Fees,NUSD,88519.74599231698
arbitrum,Claimed Fees,SYN,0.0
arbitrum,Claimed Fees,UNIDX,0.0
arbitrum,Claimed Fees,USDC,0.0
arbitrum,Claimed Fees,USDC.e,0.0
arbitrum,Claimed Fees,USDT,10945.64471
arbitrum,Claimed Fees,WETH,0.0
arbitrum,Swap Unclaimed Fees,DAI,0.0
arbitrum,Unclaimed Fees,ARB,0.0
arbitrum,Unclaimed Fees,DAI,0.0
arbitrum,Unclaimed Fees,ETH,0.0
arbitrum,Unclaimed Fees,FRAX,0.0
arbitrum,Unclaimed Fees,GMX,122881.00490381784
arbitrum,Unclaimed Fees,GOHM,56934.07097158269
arbitrum,Unclaimed Fees,NETH,294676.60382333235
arbitrum,Unclaimed Fees,NUSD,378112.9166076188
arbitrum,Unclaimed Fees,SYN,8135.8674645586225
arbitrum,Unclaimed Fees,UNIDX,801.1411016082687
arbitrum,Unclaimed Fees,USDC,0.0
arbitrum,Unclaimed Fees,USDC.e,0.0
arbitrum,Unclaimed Fees,USDT,0.0
arbitrum,Unclaimed Fees,WETH,0.0
aurora,Claimed Fees,NUSD,0.0
aurora,Claimed Fees,USDC.e,0.0
aurora,Claimed Fees,USDT.e,0.0
aurora,Unclaimed Fees,NUSD,125794.25612824468
aurora,Unclaimed Fees,USDC.e,0.0
aurora,Unclaimed Fees,USDT.e,0.0
avax,CCTP Unclaimed Fees,USDC,0.0
avax,Claimed Fees,AVAX,47.52375312
avax,Claimed Fees,AVWETH,0.0
avax,Claimed Fees,BTCB,0.0
avax,Claimed Fees,DAI.e,0.0
avax,Claimed Fees,GMX,216.8122128572406
avax,Claimed Fees,GOHM,15723.017663123352
avax,Claimed Fees,JEWEL,0.0
avax,Claimed Fees,NETH,44025.96388012712
avax,Claimed Fees,NUSD,0.6202301639992769
avax,Claimed Fees,SYN,26775.444429317333
avax,Claimed Fees,USDC,0.0
avax,Claimed Fees,USDC.e,0.0
avax,Claimed Fees,USDT,0.0
avax,Claimed Fees,USDT.e,0.0
avax,Claimed Fees,WETH.e,0.0
avax,Swap Unclaimed Fees,DAIe,35630.51574713546
avax,Swap Unclaimed Fees,USDCe,134019.24417238202
avax,Swap Unclaimed Fees,USDLP,0.0
avax,Swap Unclaimed Fees,USDTe,59321.975021
avax,Swap Unclaimed Fees,avWETH,41306.50964122747
avax,Swap Unclaimed Fees,nETH,21268.826936276684
avax,Swap Unclaimed Fees,nUSD,106029.14904945625
avax,Unclaimed Fees,AVAX,20955.80934421726
avax,Unclaimed Fees,AVWETH,0.0
avax,Unclaimed Fees,BTCB,1.3770787258800002e-07
avax,Unclaimed Fees,DAI.e,0.0
avax,Unclaimed Fees,GMX,0.0
avax,Unclaimed Fees,GOHM,14362.099123774433
avax,Unclaimed Fees,JEWEL,4210.309298511508
avax,Unclaimed Fees,NETH,49611.22323501804
avax,Unclaimed Fees,NUSD,56476.41443334687
avax,Unclaimed Fees,SYN,14080.260880354172
avax,Unclaimed Fees,USDC,0.0
avax,Unclaimed Fees,USDC.e,0.0
avax,Unclaimed Fees,USDT,0.0
avax,Unclaimed Fees,USDT.e,0.0
avax,Unclaimed Fees,WETH.e,0.0
