Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees,CCTP Unclaimed Fees
arbitrum,439806.83109765314,541431.6012784924,79426.38928457972,16157.51422
aurora,0.0,127758.58902687287,66029.93353834742,0
avax,793500.7341265669,35109.681787528614,3615.8503460962083,4024.472917
base,205885.31594396473,95133.1486825101,73857.54527856513,0.0
blast,0.0,172026.2156164475,432782.8361079386,0
boba,53505.58370270311,151449.5889971666,62208.37658931585,0.0
bsc,151.56085469929678,330059.4383254599,403037.3705802165,0.0
canto,0.0,170179.64410893785,10001.493803164092,0.0
cronos,0.0,29087.835690751333,2872.642243716898,0.0
dfk,0.0,166055.47902728594,0,0.0
dogechain,0.0,6562.952321206967,0,0.0
ethereum,8590670.71,612857.7727789145,29277.996018362475,0.0
fantom,1382.1722519243312,15488.227549702788,0.15024795490661397,0
harmony,10458.072473383754,96.9577172579189,0.6797312394409456,0
metis,234962.46774938697,125291.97141100674,20003.069775448184,0
moonbeam,0.0,333.7876505510277,0,0
moonriver,0.0,203.71185646535815,0,0.0
optimism,248920.22323962333,506873.1428,97693.28192136742,7057.238247
polygon,9594.352631296548,27178.299628592704,12536.151412320516,0
klaytn,0.0,36449.95059389585,0,0.0
