Chain,Claimed Fees,Unclaimed Fees,Swap Unclaimed Fees
arbitrum,1086735.742,205708.9176,0
aurora,0,126826.4457,0
avax,69337.00301,174588.4915,416356.5037
boba,28866.60499,137105.7932,57353.55419
bsc,201491.8386,147572.6724,0
canto,0,125206.1442,0
cronos,0,23775.90217,2581.12553
dfk,0,0,0
dogechain,0,5190.059174,0
ethereum,2142348.903,373359.8026,0
fantom,95685.506,234045.1032,0
metis,1363906.587,140374.9436,64867.472
moonriver,0,83.98334055,0
moonbeam,0,150.0814895,0
optimism,216585.1616,270621.9789,69110.28205
polygon,170816.9351,122161.022,164404.35
